email,password,userId,role,appointmentId,ratedToUserId,clientIp
admin@example.com,Admin123!,1,admin,101,2,10.20.0.1
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.2
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.3
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.4
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.5
admin@example.com,Admin123!,1,admin,101,2,10.20.0.6
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.7
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.8
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.9
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.10
admin@example.com,Admin123!,1,admin,101,2,10.20.0.11
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.12
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.13
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.14
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.15
admin@example.com,Admin123!,1,admin,101,2,10.20.0.16
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.17
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.18
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.19
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.20
admin@example.com,Admin123!,1,admin,101,2,10.20.0.21
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.22
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.23
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.24
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.25
admin@example.com,Admin123!,1,admin,101,2,10.20.0.26
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.27
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.28
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.29
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.30
admin@example.com,Admin123!,1,admin,101,2,10.20.0.31
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.32
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.33
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.34
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.35
admin@example.com,Admin123!,1,admin,101,2,10.20.0.36
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.37
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.38
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.39
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.40
admin@example.com,Admin123!,1,admin,101,2,10.20.0.41
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.42
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.43
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.44
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.45
admin@example.com,Admin123!,1,admin,101,2,10.20.0.46
reciclador1@example.com,Pass123!,2,user,101,3,10.20.0.47
reciclador2@example.com,Pass123!,3,user,101,2,10.20.0.48
recolector1@example.com,Pass123!,4,user,102,2,10.20.0.49
institucion1@example.com,Pass123!,5,user,103,4,10.20.0.50
admin@example.com,Admin123!,1,admin,101,2,10.20.0.51
